"año";"NCODI";"altas_particular";"estancias_particular";"sesionHdia_particular";"consulta_particular";"cma_particular";"urge_particular";"hospDom_particular";"altas_AsegPriv";"estancias_AsegPriv";"sesionHdia_AsegPriv";"consulta_AsegPriv";"cma_AsegPriv";"urge_AsegPriv";"hospDom_AsegPriv";"altas_sns";"estancias_sns";"sesionHdia_sns";"consulta_sns";"cma_sns";"urge_sns";"hospDom_sns";"altas_MutuaFun";"estancias_MutuaFun";"sesionHdia_MutuaFun";"consulta_MutuaFun";"cma_MutuaFun";"urge_MutuaFun";"hospDom_MutuaFun";"altas_otrEntiPublica";"estancias_otrEntiPublica";"sesionHdia_otrEntiPublica";"consulta_otrEntiPublica";"cma_otrEntiPublica";"urge_otrEntiPublica";"hospDom_otrEntiPublica";"altas_MATEPSS";"estancias_MATEPSS";"sesionHdia_MATEPSS";"consulta_MATEPSS";"cma_MATEPSS";"urge_MATEPSS";"hospDom_MATEPSS";"altas_convIntern";"estancias_conveInter";"sesionHdia_conveInter";"consulta_conveInter";"cma_conveInter";"urge_conveInter";"hospDom_conveInter";"altas_AccTrafic";"estancias_AccTrafic";"sesionHdia_AccTrafic";"consulta_AccTrafic";"cma_AccTrafic";"urge_AccTrafic";"hospDom_AccTrafic";"otroRegimen";"altas_otroRegim";"estancias_otroRegim";"sesionHdia_otroRegim";"consulta_otroRegim";"cma_otroRegim";"urge_otroRegim";"hospDom_otroRegim";"total_altas";"total_estancias";"total_sesionHdia";"total_consulta";"total_cma";"total_urgencias";"total_hospDom"
2015;426,00;48;12206;0;894;0;0;0;317;459;0;31518;0;0;0;567;5020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;932;17685;0;32412;0;0;0
2015;232,00;152;285;0;1728;34;213;0;4588;13598;0;88957;2102;20843;0;125;294;0;2895;42;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;4865;14177;0;93580;2178;21070;0
2015;288,00;194;2891;5153;2561;100;51;0;3733;14768;251;142633;1539;18661;0;1280;27805;0;3851;655;0;0;0;0;0;0;0;0;0;16;17;0;948;8;1;0;23;1197;0;201;0;124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";2;10;0;0;0;0;0;5248;46688;5404;150194;2302;18837;0
2015;246,00;423;919;0;5291;259;106;0;4486;9740;0;56060;2746;7130;0;699;1516;0;8724;427;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;5608;12175;0;70075;3432;7244;0
2015;284,00;510;906;0;0;465;106;0;8472;29862;0;0;8901;13204;0;122;181;0;0;108;0;0;399;662;0;0;329;1;0;0;0;0;0;0;0;0;52;143;0;0;9;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;9555;31754;0;0;9812;13330;0
2015;18,00;0;365;0;76;0;0;0;0;0;0;552;0;0;0;99;26674;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;99;27039;0;628;0;0;0
2015;356,00;134;1615;791;2839;0;178;0;358;5932;5752;1047;0;1465;0;246;2810;0;0;0;0;0;0;0;0;0;0;0;0;552;18205;11803;8;0;332;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;1290;28562;18346;3894;0;1975;0
2015;401,00;1;11;0;322;0;0;0;0;0;0;0;0;0;0;1482;82411;3657;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;343;0;0;0;0;0;0;0;0;0;0;0;0;15;2552;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;1499;85317;3657;322;0;0;2
2015;733,00;241;885;471;11452;326;915;0;1417;7097;2003;53607;875;6476;0;29459;160604;92721;1032420;28425;130294;0;0;0;0;37;0;1;0;0;0;0;0;0;0;0;13;47;68;6207;48;500;0;0;0;0;0;0;0;0;68;400;3;1552;6;999;0;"Otros";0;0;0;0;0;0;0;31198;169033;95266;1105275;29680;139185;0
2015;243,00;95;171;0;191;426;233;0;5139;16587;0;67019;2079;17273;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;5234;16758;0;67210;2505;17624;0
