"año";"NCODI";"60_totalCompra";"600_producFarma";"601_materialSani";"601_1_implantes";"601_2_restoMateriaSani";"606_servContratado";"607_trabajoContratado";"60X_restoCompras";"61_variaExistencias";"62_servExteriores";"628_sumistro";"62X_restoServiExter";"64_gastoPersonal";"640_sueldos";"641_indemnizacion";"642_SegSocEmpresa";"643_649_OtrGasSocial";"68_dotaAmortizacion";"69_perdidaDeterioro";"6X_restoGasto";"tot_compraGasto"
2015;1052,00;170870;68620;14490;0;14490;0;82100;5660;0;52470;48840;3630;797856;627742;944;169170;0;18497;0;810;1040503
2015;739,00;270962475;150346358;69196151;19235190;49960961;28470663;18237163;4712140;0;28867736;9613455;19254281;341467479;272268991;0;69198488;0;0;0;111;641297801
2015;957,00;150756781;77165704;40817588;11468389;29349199;6394182;18422085;7957222;0;10505168;4185793;6319375;215452317;174482269;0;40637578;332470;0;0;282512;376996778
2015;939,00;142682647;65815756;50694831;18009248;32685583;11285395;9655004;5231661;73510;9776847;2044383;7732464;170188878;140762215;0;29166435;260228;0;0;67280;322789162
2015;236,00;6350964;2784882;115129;0;115129;2623628;752269;75056;179093;1271901;369779;902122;7845640;6139053;0;1674463;32124;303622;138138;395463;16484821
2015;735,00;123255833;60998703;37690053;8705652;28984401;7494756;9492683;7579638;-1381096;9961260;2763291;7197969;207615908;162544108;0;44488309;583491;3595013;0;959513;344006431
2015;146,00;2190066;1240508;0;0;0;437551;0;512007;0;243825;243825;0;15181240;11755970;63519;3225809;135942;0;0;0;17615131
2015;363,00;7741886;726909;2945698;1594178;1351520;2084736;1482060;502483;14727;1857034;411538;1445496;13586339;10512082;9031;2884793;180433;1594623;147160;491196;25432965
2015;187,00;8725944;1358254;3798780;1798211;2000569;2045500;1025954;497456;66354;1276115;554782;721333;11360555;8956455;82560;2321540;0;1564890;320111;40244;23354213
2015;265,00;2748551;745983;207503;22825;184678;1371126;324448;99491;19134;512716;430642;82074;2349558;1839345;0;480898;29315;434308;4200;20304;6088771
2015;295,00;5483988;839941;821618;170990;650628;2843045;909948;69436;-146492;1165212;386654;778558;4406929;3400858;38951;967120;0;1399026;12012;119979;12440654
2015;496,00;7572992;1386753;5029983;1938622;3091361;114849;1025255;16152;-102360;8229247;379418;7849829;12774502;9991021;0;2681646;101835;957699;222767;13629180;43284027
2015;77,00;510829;219843;0;0;0;0;112800;178186;0;10876;10876;0;3889740;2976711;68708;825419;18902;27024;0;55196;4493665
