"año";"NCODI";"Urg_altas";"Urg_ingresos";"Urg_traslados";"Urg_exitus";"Urg_total"
2012;549,00;11030;2119;167;8;13324
2012;582,00;16601;3027;307;31;19966
2012;743,00;79532;14447;1587;118;95684
2012;795,00;0;0;0;0;0
2012;269,00;3856;45;18;0;3919
2012;634,00;22592;5386;637;13;28628
2012;1,00;11561;601;127;0;12289
2012;717,00;25883;6094;534;39;32550
2012;373,00;1038;0;0;0;1038
2012;535,00;21040;4920;434;22;26416
2012;824,00;115717;21282;2959;146;140104
2012;888,00;16404;2374;530;23;19331
2012;902,00;0;0;0;0;0
2012;968,00;0;0;0;0;0
2012;346,00;0;5;0;0;5
2012;27,00;0;0;0;0;0
2012;165,00;6426;278;110;1;6815
2012;956,00;32350;11205;370;64;43989
2012;413,00;0;0;0;0;0
2012;149,00;0;0;0;0;0
2012;612,00;41010;403;473;0;41886
2012;559,00;1374;106;0;0;1480
2012;7,00;2630;1;1;0;2632
2012;283,00;37018;1313;189;6;38526
2012;37,00;0;0;0;0;0
2012;153,00;65432;646;142;0;66220
2012;547,00;48157;6494;162;32;54845
2012;397,00;0;0;0;0;0
2012;556,00;33249;3798;68;31;37146
2012;42,00;0;33;0;0;33
2012;31,00;0;0;0;0;0
2012;740,00;129551;18135;930;211;148827
2012;217,00;19501;3571;2971;1;26044
2012;863,00;8534;1737;80;5;10356
2012;889,00;74514;9948;898;332;85692
2012;984,00;24788;2834;539;9;28170
2012;34,00;0;0;0;0;0
2012;791,00;17327;2681;0;3;20011
2012;181,00;0;0;0;0;0
2012;430,00;788;17;0;0;805
2012;715,00;69658;10344;436;47;80485
2012;521,00;5121;276;19;0;5416
2012;524,00;24558;2306;114;1;26979
2012;432,00;3278;132;7;0;3417
2012;19,00;0;0;0;0;0
2012;25,00;0;0;0;0;0
2012;26,00;0;0;0;0;0
2012;890,00;70926;13244;598;72;84840
2012;904,00;30864;3507;836;32;35239
2012;957,00;160036;24116;1494;224;185870
2012;939,00;90402;2758;27;108;93295
2012;236,00;19451;1651;4780;0;25882
2012;735,00;138834;16260;3207;307;158608
2012;146,00;0;0;0;0;0
2012;363,00;0;0;0;0;0
2012;187,00;7289;231;29;0;7549
2012;265,00;9355;237;6;0;9598
2012;295,00;15739;721;6;0;16466
2012;496,00;39639;11123;3712;37;54511
2012;77,00;0;0;0;0;0
2012;391,00;1510;621;11;0;2142
2012;240,00;26720;4208;4434;57;35419
2012;448,00;8156;758;171;11;9096
2012;151,00;0;0;0;0;0
2012;425,00;5895;220;108;11;6234
2012;300,00;15329;660;12;0;16001
2012;339,00;24019;1982;85;1;26087
2012;826,00;0;0;0;0;0
2012;874,00;21515;4056;17;49;25637
2012;905,00;65609;11606;2108;223;79546
2012;736,00;157616;21356;376;338;179686
2012;459,00;8400;40;0;0;8440
2012;320,00;0;0;0;0;0
2012;45,00;0;0;0;0;0
2012;292,00;0;0;0;0;0
2012;618,00;33660;4201;857;57;38775
2012;463,00;77442;7739;822;135;86138
2012;891,00;27054;2097;259;3;29413
2012;958,00;40456;7865;79;44;48444
2012;244,00;7657;374;92;0;8123
2012;28,00;0;0;0;0;0
2012;444,00;4086;250;5;0;4341
2012;479,00;0;0;0;0;0
2012;285,00;37244;1719;22;22;39007
2012;253,00;61554;2159;7;21;63741
2012;481,00;31223;1620;10;16;32869
2012;540,00;40453;5560;189;0;46202
2012;332,00;0;0;0;0;0
2012;41,00;0;0;0;0;0
2012;510,00;30324;1054;35;1;31414
2012;305,00;36416;341;1632;17;38406
2012;708,00;57829;5670;429;106;64034
2012;755,00;263852;25101;2866;534;292353
2012;750,00;187754;20212;1090;239;209295
2012;696,00;110414;14275;882;175;125746
2012;434,00;48148;603;1416;17;50184
2012;421,00;14127;754;0;0;14881
2012;827,00;0;0;0;0;0
2012;933,00;89492;5821;1009;71;96393
2012;1030,00;76212;3129;34;2;79377
2012;1003,00;62973;48;2305;15;65341
2012;1050,00;15530;197;996;0;16723
2012;1043,00;33721;1267;18;0;35006
2012;934,00;21660;5856;98;37;27651
2012;629,00;69481;9327;975;86;79869
2012;21,00;0;0;0;0;0
2012;615,00;57717;5419;309;19;63464
2012;626,00;10820;610;18;0;11448
2012;417,00;4490;41;0;0;4531
2012;597,00;15393;2077;236;17;17723
2012;539,00;68199;9578;604;70;78451
2012;343,00;16873;732;190;1;17796
2012;135,00;0;0;0;0;0
2012;158,00;3401;730;0;0;4131
2012;775,00;33154;7210;474;58;40896
2012;177,00;0;0;0;0;0
2012;578,00;17587;544;119;0;18250
2012;416,00;20879;388;101;0;21368
2012;561,00;31250;2256;341;123;33970
2012;828,00;0;0;0;0;0
2012;860,00;34174;549;733;16;35472
2012;935,00;0;0;0;0;0
2012;936,00;0;0;0;0;0
2012;986,00;944;225;0;0;1169
2012;987,00;67375;3577;1307;128;72387
2012;1021,00;0;0;0;0;0
2012;1085,00;0;0;0;0;0
2012;658,00;25127;4630;230;17;30004
2012;353,00;0;0;0;0;0
2012;323,00;0;0;0;0;0
2012;620,00;17810;3497;248;22;21577
2012;384,00;0;0;0;0;0
2012;484,00;0;497;0;0;497
2012;554,00;57189;9109;282;130;66710
2012;209,00;11593;43;219;0;11855
