"año";"NCODI";"60_totalCompra";"600_producFarma";"601_materialSani";"601_1_implantes";"601_2_restoMateriaSani";"606_servContratado";"607_trabajoContratado";"60X_restoCompras";"61_variaExistencias";"62_servExteriores";"628_sumistro";"62X_restoServiExter";"64_gastoPersonal";"640_sueldos";"641_indemnizacion";"642_SegSocEmpresa";"643_649_OtrGasSocial";"68_dotaAmortizacion";"69_perdidaDeterioro";"6X_restoGasto";"tot_compraGasto"
2013;1064,00;4029712;224973;788283;747537;40746;1709840;238650;1067966;-26691;1251464;269258;982206;7414941;5946029;53301;1365984;49627;2100062;99020;1920209;16788717
2013;226,00;8167720;984173;881227;137921;743306;4483092;1414224;405004;-45;1578269;395525;1182744;4904850;3853264;0;1023807;27779;1173878;130766;1539232;17494670
2013;687,00;19675027;5057524;5129287;1041283;4088004;5193458;3290850;1003908;0;2895390;852611;2042779;34084729;26868618;508582;6701300;6229;0;0;45926;56701072
2013;745,00;79435090;35445737;20764821;5446709;15318112;11230509;9096299;2897724;0;6015640;2682248;3333392;131365847;104866907;0;26307317;191623;0;0;646894;217463471
2013;109,00;6624283;1041510;822452;129166;693286;3954980;342768;462573;-29693;1393363;212609;1180754;5488996;4388628;0;1078939;21429;299321;207887;761309;14745466
2013;808,00;32266513;9384526;12161681;1811637;10350044;0;10721588;-1282;-2257591;2177883;1739442;438441;53751093;42217942;0;11206079;327072;3385794;298722;768843;90391257
2013;971,00;2857492;218360;473669;2545;471124;0;2165463;0;737413;508768;445811;62957;8455138;6639341;0;1788131;27666;1224786;51548;57472;13892617
2013;128,00;1500796;225682;467996;62490;405506;0;733845;73273;-1204;585312;83325;501987;1513418;1202604;0;310814;0;75120;23227;7420;3704089
2013;919,00;35693838;16469064;11406287;2875413;8530874;3613328;3366366;838793;35390;3916231;2131869;1784362;62573913;50069038;0;12375706;129169;0;0;230390;102449762
2013;725,00;78027178;37531055;33691603;10286673;23404930;0;2519894;4284626;1208983;18528064;3964745;14563319;162619278;129631105;3500;32583994;400679;2706247;0;8727877;271817627
2013;3,00;508749;28620;98904;0;98904;37650;291982;51593;0;433674;158923;274751;1686151;1249498;35587;393032;8034;21273;86;31676;2681609
2013;386,00;217773;10885;12839;0;12839;0;82820;111229;113;167863;70339;97524;731464;558319;0;173145;0;44510;0;24749;1186472
2013;306,00;63401;0;524;0;524;0;44354;18523;0;35247;35247;0;11682894;9232125;0;2450769;0;0;0;29582;11811124
2013;15,00;714418;26998;191471;131446;60025;355834;138330;1785;18283;281480;53931;227549;994759;768484;33020;190797;2458;139463;99722;11687;2259812
2013;264,00;8649611;2768373;943637;116512;827125;3421481;1052734;463386;-27730;1207854;231187;976667;3872924;2943904;22008;890081;16931;689308;419579;120100;14931646
2013;867,00;1130304;26505;322389;121052;201337;0;781410;0;0;399456;53702;345754;688015;505672;13151;168428;764;80082;30000;80862;2408719
2013;910,00;17964518;9187523;6890983;1224001;5666982;0;452288;1433724;-539717;4370923;1228385;3142538;39501276;31470098;0;8028473;2705;543499;0;2725091;64565590
2013;1053,00;24590717;14798682;7310157;613410;6696747;0;1776350;705528;-109449;5592509;1819739;3772770;50746190;40448108;184;10257861;40037;845993;0;9456;81675416
2013;1055,00;33833676;16437616;13174735;995410;12179325;0;1883343;2337982;-370979;7702866;2774490;4928376;68892539;54804200;286;14088053;0;1753579;0;36996;111848677
2013;1081,00;176895;73901;361;0;361;15780;5870;80983;0;255564;127593;127971;1459360;1110258;1403;341661;6038;221016;403200;383449;2899484
2013;1099,00;657982;62366;152510;106412;46098;412037;31069;0;274984;99489;0;99489;1256945;968754;0;288191;0;17744;0;1768;2308912
2013;529,00;2799109;173352;1887630;0;1887630;0;637838;100289;0;274018;200880;73138;9490655;7199616;0;2291039;0;0;0;14945;12578727
2013;345,00;2394457;498996;53578;0;53578;0;1258588;583295;0;879363;521377;357986;15970049;13071293;0;2898756;0;0;0;138002;19381871
2013;515,00;3772343;282613;530141;199999;330142;1499773;1245878;213938;19830;1050962;486965;563997;6061397;4463068;66524;1440743;91062;789040;223525;228536;12145633
2013;174,00;1556842;79122;459895;280;459615;515031;401775;101019;7194;344976;122775;222201;2848828;2106626;170206;557739;14257;185229;0;125016;5068085
2013;523,00;8401571;516259;2760417;1680593;1079824;1945751;2849084;330060;21099;1432481;489601;942880;9403211;7298595;26695;2028255;49666;1461191;858;369958;21090369
2013;697,00;13721839;2074487;2149459;566474;1582985;8714252;398247;385394;-23191;3797520;727441;3070079;16120507;12793585;26227;3295855;4840;909477;77339;88884;34692375
2013;239,00;17532798;3289732;3632461;1129855;2502606;8222693;824025;1563887;-5934;4855764;764285;4091479;18708614;14690920;219094;3761901;36699;1715512;1296267;1505381;45608402
2013;287,00;11932804;2552289;2462250;202656;2259594;5575198;596016;747051;6990;2255198;557171;1698027;15051295;11794779;119197;3135218;2101;988645;4472548;2294728;37002208
2013;377,00;1665797;306095;345539;0;345539;0;814737;199426;0;167674;136400;31274;8414846;6629599;0;1785247;0;0;0;4867;10253184
2013;692,00;19796377;8251972;1337647;495750;841897;1289802;2340303;6576653;0;1711287;1651223;60064;43606975;35375027;0;8025578;206370;0;0;109978;65224617
2013;335,00;871594;10197;299034;0;299034;0;86678;475685;0;194389;142613;51776;5519113;4268503;0;1234191;16419;0;0;191180;6776276
2013;435,00;2884404;94795;1944999;0;1944999;0;831600;13010;6120;11170466;245860;10924606;4017153;3186810;60844;763409;6090;595398;354804;930004;19958349
